Started: 2020-02-10 22:04:27.135832
From a previously trained model which left off on start of epoch 6.Started: 2020-02-10 22:04:53.035998
From a previously trained model which left off on start of epoch 6.epoch6, iter0, loss: 3.0235354900360107 
epoch7, iter190, loss: 3.020784854888916 
epoch7, iter200, loss: 2.9633824825286865 
epoch7, iter210, loss: 2.97308087348938 
epoch7, iter220, loss: 3.0299062728881836 
epoch7, iter230, loss: 3.0148913860321045 
epoch7, iter240, loss: 3.006396770477295 
epoch7, iter250, loss: 2.972054958343506 
epoch7, iter260, loss: 3.044746160507202 
epoch7, iter270, loss: 2.9914028644561768 
epoch7, iter280, loss: 2.9527182579040527 
epoch7, iter290, loss: 2.9707112312316895 
epoch7, iter300, loss: 3.0207743644714355 
epoch7, iter310, loss: 2.988494873046875 
epoch7, iter320, loss: 3.003063917160034 
epoch7, iter330, loss: 3.020582675933838 
epoch7, iter340, loss: 3.005329132080078 
epoch7, iter350, loss: 2.9671742916107178 
epoch7, iter360, loss: 3.0160961151123047 
epoch7, iter370, loss: 2.9747860431671143 
epoch7, iter380, loss: 3.023395299911499 
epoch7, iter390, loss: 3.078002691268921 
epoch7, iter400, loss: 3.046058177947998 
epoch7, iter410, loss: 2.9873480796813965 
epoch7, iter420, loss: 3.000263214111328 
epoch7, iter430, loss: 3.055189609527588 
epoch7, iter440, loss: 2.9898014068603516 
epoch7, iter450, loss: 3.051870346069336 
epoch7, iter460, loss: 2.9768922328948975 
epoch7, iter470, loss: 2.9535207748413086 
epoch7, iter480, loss: 2.977555751800537 
epoch7, iter490, loss: 2.9881300926208496 
epoch7, iter500, loss: 3.0131726264953613 
epoch7, iter510, loss: 2.9690065383911133 
epoch7, iter520, loss: 3.095257043838501 
epoch7, iter530, loss: 3.0117859840393066 
epoch7, iter540, loss: 3.0306975841522217 
epoch7, iter550, loss: 2.95937180519104 
epoch7, iter560, loss: 3.0284268856048584 
epoch7, iter570, loss: 2.9834845066070557 
epoch7, iter580, loss: 3.015167474746704 
epoch7, iter590, loss: 3.058366537094116 
Finish epoch 7, time elapsed 1377.8872117996216 
Training Check:	Loss: 3.003300	Accuracy: 57.369033	IoU: 0.063152 
Best Loss: 3.005225739479065
Validation Results: Loss: 3.005226	Accuracy: 57.177451	IoU: 0.062306 
epoch8, iter0, loss: 3.0039680004119873 
epoch8, iter10, loss: 3.0484838485717773 
epoch8, iter20, loss: 2.9869697093963623 
epoch8, iter30, loss: 3.0225350856781006 
epoch8, iter40, loss: 2.976274013519287 
epoch8, iter50, loss: 2.9555957317352295 
epoch8, iter60, loss: 3.076630115509033 
epoch8, iter70, loss: 3.002488851547241 
epoch8, iter80, loss: 3.0260813236236572 
epoch8, iter90, loss: 2.991330146789551 
epoch8, iter100, loss: 3.014596939086914 
epoch8, iter110, loss: 3.016446590423584 
epoch8, iter120, loss: 2.9886441230773926 
epoch8, iter130, loss: 3.0169003009796143 
epoch8, iter140, loss: 2.9824440479278564 
epoch8, iter150, loss: 2.967454195022583 
epoch8, iter160, loss: 3.0294876098632812 
epoch8, iter170, loss: 3.0129494667053223 
epoch8, iter180, loss: 2.9304120540618896 
epoch8, iter190, loss: 3.058279514312744 
epoch8, iter200, loss: 3.0664665699005127 
epoch8, iter210, loss: 2.923633337020874 
epoch8, iter220, loss: 3.063009738922119 
epoch8, iter230, loss: 3.002943515777588 
epoch8, iter240, loss: 3.0431268215179443 
epoch8, iter250, loss: 2.9712510108947754 
epoch8, iter260, loss: 2.8996548652648926 
epoch8, iter270, loss: 3.032006025314331 
epoch8, iter280, loss: 3.0253825187683105 
epoch8, iter290, loss: 2.9262397289276123 
epoch8, iter300, loss: 3.0999679565429688 
epoch8, iter310, loss: 3.0424134731292725 
epoch8, iter320, loss: 2.916351318359375 
epoch8, iter330, loss: 2.9885945320129395 
epoch8, iter340, loss: 2.937117099761963 
epoch8, iter350, loss: 2.9479241371154785 
epoch8, iter360, loss: 2.9731545448303223 
epoch8, iter370, loss: 2.937878370285034 
epoch8, iter380, loss: 3.0222396850585938 
epoch8, iter390, loss: 3.0043141841888428 
epoch8, iter400, loss: 2.971263885498047 
epoch8, iter410, loss: 2.94154691696167 
epoch8, iter420, loss: 3.0773210525512695 
epoch8, iter430, loss: 3.019704818725586 
epoch8, iter440, loss: 3.1199796199798584 
epoch8, iter450, loss: 2.93351411819458 
epoch8, iter460, loss: 3.024404287338257 
epoch8, iter470, loss: 3.033210277557373 
epoch8, iter480, loss: 2.974867582321167 
epoch8, iter490, loss: 2.99211049079895 
epoch8, iter500, loss: 3.0250229835510254 
epoch8, iter510, loss: 2.957767963409424 
epoch8, iter520, loss: 2.952711582183838 
epoch8, iter530, loss: 2.990152597427368 
epoch8, iter540, loss: 3.0042483806610107 
epoch8, iter550, loss: 3.080674886703491 
epoch8, iter560, loss: 2.925708770751953 
epoch8, iter570, loss: 2.943042278289795 
epoch8, iter580, loss: 2.9518189430236816 
epoch8, iter590, loss: 2.9587202072143555 
Finish epoch 8, time elapsed 1375.417762041092 
Training Check:	Loss: 2.988495	Accuracy: 58.765690	IoU: 0.065544 
Best Loss: 2.991771914958954
Validation Results: Loss: 2.991772	Accuracy: 58.437205	IoU: 0.064116 
epoch9, iter0, loss: 2.931159734725952 
epoch9, iter10, loss: 2.9935173988342285 
epoch9, iter20, loss: 3.0375232696533203 
epoch9, iter30, loss: 3.019038200378418 
epoch9, iter40, loss: 2.9459638595581055 
epoch9, iter50, loss: 2.9764626026153564 
epoch9, iter60, loss: 3.0030407905578613 
epoch9, iter70, loss: 3.01021146774292 
epoch9, iter80, loss: 2.9697799682617188 
epoch9, iter90, loss: 2.9920949935913086 
epoch9, iter100, loss: 2.960721492767334 
epoch9, iter110, loss: 3.0441575050354004 
epoch9, iter120, loss: 2.959766149520874 
epoch9, iter130, loss: 2.9881794452667236 
epoch9, iter140, loss: 2.945432662963867 
epoch9, iter150, loss: 2.98201584815979 
epoch9, iter160, loss: 3.0579607486724854 
epoch9, iter170, loss: 3.05877423286438 
epoch9, iter180, loss: 3.0153870582580566 
epoch9, iter190, loss: 3.04087495803833 
epoch9, iter200, loss: 2.9926083087921143 
epoch9, iter210, loss: 3.0533676147460938 
epoch9, iter220, loss: 2.967881679534912 
epoch9, iter230, loss: 3.0073909759521484 
epoch9, iter240, loss: 2.940634250640869 
epoch9, iter250, loss: 2.9689204692840576 
epoch9, iter260, loss: 2.938621997833252 
